TG317,1/1/2006,10,15,20,11:45 PM,11:45 PM
TG317,1/2/2006,10,15,20,8:30 PM,7:30 AM
TG317,1/3/2006,10,15,20,11:45 PM,11:45 PM
TG317,2/1/2006,11,8,5,8:30 PM,4:44 AM
TG317,2/2/2006,4,5,6,not departed yet,not arrived yet
TG317,2/3/2006,11,8,5,8:30 PM,4:44 AM
TG317,3/1/2006,11,8,5,10:22 PM,not arrived yet
TG317,3/1/2006,10,15,20,not departed yet,not arrived yet
TG317,3/2/2006,4,5,6,not departed yet,not arrived yet
TG317,3/2/2006,10,15,20,7:30 AM,flight cancel
TG317,3/3/2006,10,15,20,not departed yet,3:16 PM
TG401,1/1/2006,10,15,20,8:30 PM,8:30 PM
TG401,1/2/2006,4,5,6,3:16 PM,11:07 AM
TG401,1/3/2006,10,15,20,8:30 PM,8:30 PM
TG401,2/1/2006,11,8,5,3:16 PM,5:55 AM
TG401,2/2/2006,4,5,6,8:15 AM,not arrived yet
TG401,2/3/2006,11,8,5,3:16 PM,5:55 AM
TG401,3/1/2006,11,8,5,11:45 PM,not arrived yet
TG401,3/1/2006,10,15,20,not departed yet,flight cancel
TG401,3/2/2006,4,5,6,10:22 PM,not arrived yet
TG401,3/2/2006,10,15,20,11:07 AM,flight cancel
TG401,3/3/2006,10,15,20,not departed yet,5:18 PM
TG403,1/1/2006,10,15,20,3:16 PM,3:16 PM
TG403,1/2/2006,4,5,6,5:18 PM,2:22 AM
TG403,1/3/2006,10,15,20,3:16 PM,3:16 PM
TG403,2/1/2006,11,8,5,5:18 PM,not arrived yet
TG403,2/2/2006,4,5,6,10:44 AM,not arrived yet
TG403,2/3/2006,11,8,5,5:18 PM,not arrived yet
TG403,3/1/2006,11,8,5,8:30 PM,flight cancel
TG403,3/1/2006,10,15,20,not departed yet,flight cancel
TG403,3/2/2006,4,5,6,11:45 PM,not arrived yet
TG403,3/2/2006,11,8,5,2:22 AM,flight cancel
TG403,3/3/2006,10,15,20,not departed yet,not arrived yet
TG518,1/1/2006,4,5,6,3:16 PM,2:22 AM
TG518,1/2/2006,10,15,20,not departed yet,flight cancel
TG518,1/3/2006,4,5,6,3:16 PM,2:22 AM
TG518,2/1/2006,10,15,20,flight cancel,8:15 AM
TG518,2/2/2006,10,15,20,not departed yet,not arrived yet
TG518,2/3/2006,10,15,20,flight cancel,8:15 AM
TG518,3/1/2006,4,5,6,2:22 AM,5:18 PM
TG518,3/1/2006,10,15,20,flight cancel,8:15 AM
TG518,3/2/2006,10,15,20,flight cancel,not arrived yet
TG518,3/2/2006,11,8,5,not departed yet,not arrived yet
TG518,3/3/2006,11,8,5,not departed yet,not arrived yet
TG519,1/1/2006,4,5,6,8:30 PM,11:07 AM
TG519,1/2/2006,10,15,20,not departed yet,flight cancel
TG519,1/3/2006,4,5,6,8:30 PM,11:07 AM
TG519,2/1/2006,10,15,20,flight cancel,5:18 PM
TG519,2/2/2006,10,15,20,not departed yet,5:18 PM
TG519,2/3/2006,10,15,20,flight cancel,5:18 PM
TG519,3/1/2006,4,5,6,11:07 AM,3:16 PM
TG519,3/1/2006,10,15,20,flight cancel,not arrived yet
TG519,3/2/2006,10,15,20,flight cancel,not arrived yet
TG519,3/2/2006,11,8,5,not departed yet,5:18 PM
TG519,3/3/2006,11,8,5,flight cancel,not arrived yet
TG520,1/1/2006,10,15,20,not departed yet,not arrived yet
TG520,1/2/2006,11,8,5,not departed yet,11:07 AM
TG520,1/3/2006,10,15,20,not departed yet,not arrived yet
TG520,2/1/2006,10,15,20,not departed yet,flight cancel
TG520,2/2/2006,11,8,5,flight cancel,3:33 AM
TG520,2/3/2006,10,15,20,not departed yet,flight cancel
TG520,3/1/2006,10,15,20,3:16 PM,3:33 AM
TG520,3/1/2006,4,5,6,not departed yet,not arrived yet
TG520,3/2/2006,10,15,20,3:16 PM,flight cancel
TG520,3/2/2006,10,15,20,not departed yet,10:22 PM
TG520,3/3/2006,11,8,5,not departed yet,not arrived yet
TG620,1/1/2006,10,15,20,flight cancel,not arrived yet
TG620,1/2/2006,11,8,5,not departed yet,7:30 AM
TG620,1/3/2006,10,15,20,flight cancel,not arrived yet
TG620,2/1/2006,10,15,20,not departed yet,flight cancel
TG620,2/2/2006,11,8,5,flight cancel,2:22 AM
TG620,2/3/2006,10,15,20,not departed yet,flight cancel
TG620,3/1/2006,10,15,20,8:30 PM,2:22 AM
TG620,3/1/2006,4,5,6,not departed yet,not arrived yet
TG620,3/2/2006,10,15,20,8:30 PM,not arrived yet
TG620,3/2/2006,10,15,20,not departed yet,not arrived yet
TG620,3/3/2006,11,8,5,not departed yet,not arrived yet
TG925,1/1/2006,4,5,6,11:45 PM,7:30 AM
TG925,1/2/2006,10,15,20,not departed yet,flight cancel
TG925,1/3/2006,4,5,6,11:45 PM,7:30 AM
TG925,2/1/2006,10,15,20,not departed yet,3:16 PM
TG925,2/2/2006,10,15,20,not departed yet,3:16 PM
TG925,2/3/2006,10,15,20,not departed yet,3:16 PM
TG925,3/1/2006,4,5,6,7:30 AM,8:30 PM
TG925,3/1/2006,10,15,20,flight cancel,not arrived yet
TG925,3/2/2006,10,15,20,flight cancel,not arrived yet
TG925,3/2/2006,11,8,5,not departed yet,3:16 PM
TG925,3/3/2006,11,8,5,not departed yet,not arrived yet
